#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
9.05,5057.97,267.781,22.1823,-0.155941,0,0.00458068,0.0810362,-0.00101517,-0.000541187,0.15004,3.18424,27.444,0
9.1,5071,266.069,21.3468,-0.0938614,0,0.00458289,0.0806535,-0.00101689,-0.000307962,0.154082,0.128855,25.5863,0
9.15,5083.93,264.36,20.5346,-0.0329096,0,0.00452545,0.0795165,-0.00101765,-7.61607e-05,0.158086,0.785437,34.9836,0
9.2,5096.78,262.649,19.7499,0.0276812,0,0.00464014,0.0784718,-0.0010175,0.000157023,0.162036,-1.32103,32.9249,0
9.25,5109.54,260.938,18.9902,0.0889032,0,0.00473808,0.0776862,-0.00101642,0.000395476,0.16594,-1.12487,28.5486,0
9.3,5122.2,259.228,18.2556,0.149285,0,0.0046325,0.0765914,-0.00101444,0.000633674,0.169797,1.17135,32.0913,0
9.35,5134.78,257.517,17.5473,0.207473,0,0.00451742,0.0755683,-0.00101158,0.000866293,0.173601,1.20737,30.3627,0
9.4,5147.26,255.807,16.8648,0.263895,0,0.00447329,0.0745243,-0.0010079,0.00109487,0.177353,0.318278,29.9469,0
9.45,5159.66,254.097,16.2089,0.321161,0,0.00476242,0.0733069,-0.00100343,0.0013295,0.181049,-3.76727,31.8425,0
9.5,5171.97,252.388,15.5807,0.37908,0,0.00470176,0.0720871,-0.00099816,0.00156976,0.184683,0.42332,31.185,0
9.55,5184.18,250.678,14.9774,0.434427,0,0.00447856,0.0712375,-0.000992116,0.00180285,0.188267,2.13685,25.2721,0
9.6,5196.31,248.971,14.3992,0.486365,0,0.00427498,0.0699441,-0.000985358,0.00202519,0.191796,2.08308,31.1427,0
9.65,5208.35,247.262,13.8452,0.535344,0,0.00411603,0.0692004,-0.000977941,0.00223839,0.195275,1.2185,22.4875,0
9.7,5220.3,245.557,13.316,0.584567,0,0.00442071,0.0677675,-0.000969911,0.00245517,0.198699,-4.34965,32.2444,0
